City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bredasdorp,ZA,2021-03-23 23:18:48,-34.5322,20.0403,64.4,88,37,11.5
59,Hermanus,ZA,2021-03-23 23:18:48,-34.4187,19.2345,68.0,78,3,8.99
60,Saint-Louis,SN,2021-03-23 23:18:48,16.3333,-15.0,89.6,19,0,2.3
61,Ouadda,CF,2021-03-23 23:18:48,8.0777,22.4007,71.91,72,98,3.56
62,Bayan,CN,2021-03-23 23:18:49,46.0833,127.4,31.91,92,90,7.65
63,Los Llanos De Aridane,ES,2021-03-23 23:18:49,28.6585,-17.9182,62.6,59,0,6.91
64,Clyde River,CA,2021-03-23 23:18:49,70.4692,-68.5914,-14.8,70,75,13.8
65,Qaanaaq,GL,2021-03-23 23:18:49,77.484,-69.3632,-19.98,62,98,4.83
66,Sechura,PE,2021-03-23 23:18:50,-5.5569,-80.8222,80.85,59,32,14.94
67,Ribeira Grande,PT,2021-03-23 23:18:50,38.5167,-28.7,55.83,59,65,11.36
68,Calama,CL,2021-03-23 23:14:18,-22.4667,-68.9333,68.0,17,0,21.85
69,Marawi,PH,2021-03-23 23:18:50,7.9986,124.2928,77.0,89,95,3.0
70,Osinovo,RU,2021-03-23 23:18:50,55.8809,48.881,23.0,86,77,2.24
71,Codrington,AU,2021-03-23 23:18:50,-38.2667,141.9667,62.55,95,100,13.4
72,Port Elizabeth,ZA,2021-03-23 23:18:51,-33.918,25.5701,66.2,82,0,11.5
73,Koppang,NO,2021-03-23 23:18:51,61.5706,11.0555,33.24,96,94,5.82
74,Caravelas,BR,2021-03-23 23:18:51,-17.7125,-39.2481,76.3,80,2,5.95
75,Ous,RU,2021-03-23 23:18:51,60.9058,61.5186,18.84,92,27,6.6
76,Sao Jose Da Coroa Grande,BR,2021-03-23 23:18:52,-8.8978,-35.1478,79.74,74,11,9.1
